"","year","price_gram","price_total","kg_buche","kg_total","count_buche","condition_infer","condition","place","source","sp_sci","sp_com","tma","infl","p_g_r","p_t_r","y_dry"
"187",2000,0.02,NA,NA,NA,1,"Dry","Dry","China","Clarke 2002","All","All",0,1.47,0.0294,NA,4.62
"188",2000,2.2,NA,NA,NA,1,"Dry","Dry","China","Clarke 2002","All","All",0,1.47,3.234,NA,4.62
"189",2005,0.0007166,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2014","Cynoscion othonopterus","Curvina golfina",0,1.3,0.00093158,NA,5.9
"190",2007,0.0017915,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2014","Cynoscion othonopterus","Curvina golfina",0,1.22,0.00218563,NA,6.5
"191",2011,0.007166,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2014","Cynoscion othonopterus","Curvina golfina",0,1.13,0.00809758,NA,7.9
"192",2012,0.01103564,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2014","Cynoscion othonopterus","Curvina golfina",0,1.09,0.0120288476,NA,8.69
"193",2013,0.01160892,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2014","Cynoscion othonopterus","Curvina golfina",0,1.08,0.0125376336,NA,9.56
"194",2014,0.0154069,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2014","Cynoscion othonopterus","Curvina golfina",0,1.06,0.016331314,NA,10.51
"195",2015,0.01949152,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2015","Cynoscion othonopterus","Curvina golfina",0,1.06,0.0206610112,NA,11.56
"196",2016,0.023560292,NA,NA,NA,1,"Wet","Wet","Mexico","EDF 2016","Cynoscion othonopterus","Curvina golfina",0,1.05,0.0247383066,NA,12.72
